Price,Close,High,Low,Open,Volume
Ticker,BYD,BYD,BYD,BYD,BYD
Date,,,,,
2010-01-04,8.080592155456543,8.118176267506652,7.920859455224603,7.920859455224603,743400
2010-01-05,8.136969566345215,8.353078927597512,7.996029340889095,8.16515743222122,1679100
2010-01-06,8.165155410766602,8.174551662424397,8.01481896854537,8.155760055184682,863000
2010-01-07,8.259117126464844,8.259117126464844,8.005424573786913,8.13696852848066,831600
2010-01-08,7.9396538734436035,8.259119386981956,7.826901497384696,8.259119386981956,1345600
2010-01-11,7.836296081542969,8.043009174937975,7.789315710851917,8.005425057600341,851000
2010-01-12,7.714148044586182,7.977236885335064,7.620187296280671,7.7517321646931645,1638600
2010-01-13,7.977234840393066,8.005423595304274,7.732937674284522,7.798710539668131,789100
2010-01-14,8.080592155456543,8.183948239575363,7.911463203193097,7.9866314272933145,810400
2010-01-15,8.118176460266113,8.165155929387304,7.892670886535104,8.052403590559765,921300
2010-01-19,8.287303924560547,8.287303924560547,8.04300765603861,8.089987121781682,852700
2010-01-20,8.296699523925781,8.306095774766094,8.118175238338855,8.259115416640334,858800
2010-01-21,8.230929374694824,8.409453699637247,8.146364890641467,8.306097605836475,1199300
2010-01-22,7.873881816864014,8.268515578039448,7.836297691803316,8.20274268712606,1136300
2010-01-25,7.817503452301025,8.061800659204438,7.657770732100796,8.061800659204438,817200
2010-01-26,7.648375034332275,7.845691862493059,7.648375034332275,7.779918989055473,805000
2010-01-27,7.50743293762207,7.685958132667266,7.3852848038069405,7.648374022564467,994200
2010-01-28,7.432266712188721,7.638979821272509,7.253741917266559,7.516831206635548,1051100
2010-01-29,7.328908920288086,7.563809841476321,7.253740249155973,7.441661254929331,1431600
2010-02-01,7.554413318634033,7.58260117726442,7.272532044102551,7.385284822737905,724300
2010-02-02,7.902068138122559,7.902068138122559,7.545018571976549,7.5919989431150325,1610900
2010-02-03,7.648375034332275,7.855087219204726,7.582602160894691,7.808107747418433,690500
2010-02-04,7.06581974029541,7.563809893795803,7.0000473206140885,7.526225781988749,1948400
2010-02-05,7.1785736083984375,7.197365668314217,7.000048815179509,7.047029188987983,1525100
2010-02-08,7.037631511688232,7.2161562688014955,6.971859539304054,7.2161562688014955,878200
2010-02-09,7.150384902954102,7.281929306918769,7.084612476952769,7.169176960663339,888400
2010-02-10,7.150384902954102,7.281929306918769,7.075216672117149,7.150384902954102,689500
2010-02-11,7.310116291046143,7.310116291046143,7.075215388285556,7.140987354314254,1080300
2010-02-12,7.50743293762207,7.50743293762207,7.140987640100813,7.1879680017482785,1016900
2010-02-16,7.554413318634033,7.601393680401926,7.422868932937044,7.554413318634033,868200
2010-02-17,7.300721168518066,7.582602026584834,7.263137054109164,7.582602026584834,1220500
2010-02-18,7.131592750549316,7.253740900018444,7.056424520710471,7.234948842558733,1192000
2010-02-19,7.281928539276123,7.319512650732577,7.047027618654313,7.056423870537401,934500
2010-02-22,7.319512844085693,7.375889012759614,7.281928731636413,7.319512844085693,672000
2010-02-23,7.244345664978027,7.347702213153038,7.197365293615378,7.253741470427741,747100
