Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2010-01-04,23.173337936401367,23.28564784802811,22.90379300601878,22.926255559583332,38409100
2010-01-05,23.180831909179688,23.285655766696657,22.94123696873832,23.098472040964527,49749600
2010-01-06,23.03857421875,23.27068164798744,22.851390485600778,23.120934090228644,58182400
2010-01-07,22.798980712890625,22.98616445789597,22.604309446713227,22.933751809691614,50559700
2010-01-08,22.95621109008789,23.12093224801922,22.641742386329216,22.67169246673406,51197400
2010-01-11,22.664209365844727,23.031089353750037,22.551899398624524,22.99365174594416,68754700
2010-01-12,22.51445960998535,22.761542085175968,22.394662132807998,22.57435834857403,65912100
2010-01-13,22.724103927612305,22.851388914526648,22.469533953783625,22.65671767406363,51863500
2010-01-14,23.180831909179688,23.285655766696657,22.65671833398882,22.69415450789585,63228100
2010-01-15,23.1059627532959,23.3904814273497,22.993651359862778,23.27068394057982,79913200
2010-01-19,23.28565216064453,23.390474573830044,22.97118349298972,23.023594699582475,46575700
2010-01-20,22.90379524230957,23.165852680424184,22.69414900619825,23.06851636690537,54849500
2010-01-21,22.469532012939453,23.001133047129464,22.462044493403187,22.91877318842718,73086700
2010-01-22,21.68336296081543,22.611795533889367,21.593515568646048,22.462047976142333,102004600
2010-01-25,21.952905654907227,22.20747561909906,21.78818450141185,21.893006923809054,63373000
2010-01-26,22.08768081665039,22.34973833229816,21.780699604293982,21.863060905008627,66639900
2010-01-27,22.214962005615234,22.327271942182076,21.728284661760032,21.975367093446415,63949500
2010-01-28,21.833112716674805,22.36471531490873,21.630953921792944,22.342252750555623,117513700
2010-01-29,21.09935188293457,22.402150571701963,20.71000935210331,22.38717552941646,193888500
2010-02-01,21.271564483642578,21.323975713149302,20.904684448996623,21.2565894386124,85931100
2010-02-02,21.30899429321289,21.338944374313225,21.069399356804077,21.241609466934072,54413700
2010-02-03,21.4362735748291,21.556072439238573,21.054420139147872,21.15924253889581,61397900
2010-02-04,20.84477424621582,21.338939035958592,20.822311691010018,21.24909024323349,77850000
2010-02-05,20.97955322265625,21.17422447713933,20.642621930647355,20.96457818121173,80960100
2010-02-08,20.75493812561035,21.024483240260807,20.64262813720566,20.972072007545215,52820600
2010-02-09,20.972070693969727,21.219153224223753,20.77739939314854,20.942120603951594,59195800
2010-02-10,20.957088470458984,21.144272184658973,20.84477852755867,20.987038550218216,48591300
2010-02-11,21.054424285888672,21.264069126674816,20.739955596611086,20.912164266713525,65993700
2010-02-12,20.912166595458984,21.0095015069347,20.650109087195627,20.82231777647495,81117200
2010-02-16,21.325895309448242,21.34094037691455,21.077657435360553,21.160402436872047,51935600
2010-02-17,21.506433486938477,21.55156725807016,21.333419501953095,21.461299715806792,45882900
2010-02-18,21.792280197143555,21.837415398039763,21.44625226559864,21.506431098683695,42856500
2010-02-19,21.6418399810791,21.754675145827214,21.581661130894975,21.65688505231937,44451800
2010-02-22,21.611745834350586,21.769716183550596,21.551566995316463,21.69449227606377,36707100
2010-02-23,21.31085205078125,21.686970160703105,21.130315530191965,21.574135014681893,52266200
2010-02-24,21.536516189575195,21.6568752703567,21.348457188345044,21.45377120468182,43165900
2010-02-25,21.513957977294922,21.551569217528133,21.077660990616174,21.265720061335923,48735300
2010-02-26,21.56661033630371,21.702013071979028,21.446252667876,21.5515652690561,40370600
2010-03-01,21.829893112182617,21.852459278110143,21.461297576008466,21.641834077311525,43805400
2010-03-02,21.40864372253418,22.04052230904615,21.243152258362695,21.875030844874665,93123900
2010-03-03,21.40864372253418,21.52148031173597,21.325898707836856,21.44625639719372,48442100
2010-03-04,21.536516189575195,21.551561254019923,21.265712203451674,21.40863601134764,42890600
2010-03-05,21.506433486938477,21.57413486102436,21.37855327308478,21.559089792388225,56001800
2010-03-08,21.536516189575195,21.762187851917165,21.438726140237094,21.45377120468182,39414500
2010-03-09,21.664400100708008,21.897594335453096,21.476341067074166,21.483863600592706,50271600
2010-03-10,21.792280197143555,21.897594231124813,21.664399997490747,21.709535198386956,44891400
2010-03-11,21.95025062561035,21.95777315912557,21.702012758714396,21.732101457998706,35349700
2010-03-12,22.01795768737793,22.100702707894065,21.844943676107814,22.055568929905544,31700200
2010-03-15,22.032997131347656,22.093175964889074,21.822370496564403,21.95025069718699,37512000
2010-03-16,22.09317398071289,22.183441505529856,21.965293791575153,22.13078521025722,36723500
2010-03-17,22.288755416870117,22.469293346755308,22.115741455071376,22.19096535339412,50385700
2010-03-18,22.273712158203125,22.35645715644559,22.190965725184114,22.2887557902985,43845200
2010-03-19,22.258665084838867,22.491857861226432,22.07812860297981,22.386545272169418,81332100
2010-03-22,22.266185760498047,22.341409647026087,22.108215455311534,22.190961873970007,37718200
2010-03-23,22.476816177368164,22.4918612451474,22.123265693215902,22.258668433675766,42026600
2010-03-24,22.303800582885742,22.45424838020169,22.266189350945023,22.356456881513367,33987700
2010-03-25,22.574607849121094,22.995859706600253,22.416637505831005,22.43920510766577,73168700
2010-03-26,22.31132698059082,22.717535242833957,22.25867067284303,22.6347887965007,55595500
2010-03-29,22.258665084838867,22.43167903394008,22.22857495380748,22.34893260838019,33336000
2010-03-30,22.394065856933594,22.461767211088652,22.19096179446842,22.28875184226112,34954800
2010-03-31,22.032997131347656,22.356457464897428,21.942728163647242,22.29627863135601,63760000
2010-04-01,21.935216903686523,22.22106758600331,21.529009927206484,22.07814224484492,74768100
2010-04-05,22.01795768737793,22.138315385198613,21.837421140646907,21.91264362570213,34331200
2010-04-06,22.055559158325195,22.25114068932684,21.79979880507507,21.927678981700133,47366800
2010-04-07,22.078136444091797,22.23610538378043,21.92016606962624,21.935211140485233,58318800
2010-04-08,22.50690269470215,22.552036456007492,22.040515711958925,22.055560777319506,63713800
2010-04-09,22.82284927368164,22.875505584694896,22.4918649025995,22.52947757816387,54752500
2010-04-12,22.80780029296875,22.93568049840832,22.7250538556912,22.755143990983626,37068800
2010-04-13,22.905593872070312,22.943205109815047,22.66487707226306,22.679922141271653,41374600
2010-04-14,23.183921813964844,23.319324573309647,23.063564124497653,23.161355643925265,68941200
2010-04-15,23.221532821655273,23.281711662068812,23.101173706051462,23.183920149661354,52745400
2010-04-16,23.071088790893555,23.30428165643301,23.01843247623403,23.161357783722,88703100
2010-04-19,23.349414825439453,23.507383755584094,23.138788150469757,23.146310685444764,64970300
2010-04-20,23.590129852294922,23.650308696417028,23.417114420014148,23.48481579899862,52199500
2010-04-21,23.567562103271484,23.695442325594335,23.492338189885665,23.567562103271484,55343100
2010-04-22,23.612693786621094,23.718007829947002,23.24409822192213,23.349412265248034,84847600
2010-04-23,23.289228439331055,23.755615442059533,23.05603565535505,23.40958753259684,126766600
2010-04-26,23.402067184448242,23.529947387879307,23.21400814615413,23.31932074847032,63649300
2010-04-27,23.20648956298828,23.507383788526045,23.13126564790963,23.281713478066933,68730900
2010-04-28,23.251615524291992,23.319316881633682,23.03346782212816,23.259138056749553,64557900
2010-04-29,23.319316864013672,23.642778585562596,23.071079032207162,23.26666057162689,52665200
2010-04-30,22.97329330444336,23.37950008987573,22.958248236707476,23.37197755600779,63214800
