Price,Close,High,Low,Open,Volume
Ticker,BABA,BABA,BABA,BABA,BABA
Date,,,,,
2014-09-19,89.16686248779297,94.68458808934047,85.4250618894518,88.03672312531783,271879400
2014-09-22,85.36808776855469,88.27415231330177,84.99770727738489,88.03672854995712,66657800
2014-09-23,82.784912109375,85.92840751289796,82.26258420232769,84.46587633108929,39009800
2014-09-24,86.01387786865234,86.01387786865234,82.8324009934825,84.01951977120244,32088000
2014-09-25,84.4468765258789,86.89709133188536,84.0480063701842,86.50771290923262,28598000
2014-09-26,85.90941619873047,85.90941619873047,84.19996939947487,85.21614284680521,18340000
2014-09-29,84.28543090820312,85.18763825630533,83.5921503729515,85.11166816326777,25302000
2014-09-30,84.3803939819336,86.30827355111339,84.01001353492848,84.52284967207342,24419400
2014-10-01,81.76873779296875,84.46587535217242,81.71175841173978,84.23794333606091,24029600
2014-10-02,82.6804428100586,83.76309450983486,81.3043371577677,81.93018290484561,21469700
2014-10-03,83.66812896728516,85.41557155413551,83.24076911084347,83.66812896728516,18485700
2014-10-06,83.86756134033203,85.14015638086535,83.63013759540245,84.66530889100619,9268400
2014-10-07,83.25975799560547,85.18763766511255,82.68044347232727,83.52567143338607,12791700
2014-10-08,83.85807037353516,84.0480064729751,82.68044337109473,83.5731589787775,10252600
2014-10-09,84.32342529296875,85.8049472687872,83.57316532568682,84.0575118353191,21507000
2014-10-10,81.55980682373047,84.27593519769523,80.95200258227243,83.81058666030351,15431400
2014-10-13,80.83804321289062,82.51900022066772,80.6480998603521,82.48101155016002,14845000
2014-10-14,80.67658996582031,81.55980663426196,79.03362162012012,81.49332827193186,15559200
2014-10-15,81.29389953613281,82.13912759990636,78.64424932380052,79.81237749097446,16824300
2014-10-16,84.3803939819336,84.68904918483611,79.78861981584937,80.70507920079092,15232000
2014-10-17,83.4876937866211,86.32727990508505,83.25976176198594,85.85243238882562,17360700
2014-10-20,83.82007598876953,84.99769566530938,83.44019657019618,83.57315327985727,9891400
2014-10-21,86.32727813720703,87.84678870899988,84.0480086567188,84.61782421544137,23243800
2014-10-22,87.02055358886719,88.7964859155944,86.43174730340112,87.60936711993138,20364500
2014-10-23,89.69868469238281,89.93610842872644,88.15068453983744,88.24565258525541,20641000
2014-10-24,90.94279479980469,93.0701095610031,90.01209051613162,90.28750293430429,32132600
2014-10-27,92.87067413330078,93.87734850618776,91.45563062404683,92.12041422018017,28302400
2014-10-28,94.66560363769531,95.60579971601439,93.64943021581958,94.81755107921032,32127600
2014-10-29,93.36450958251953,94.9694963901035,91.94946611507432,94.85553038602025,28655400
2014-10-30,93.76338958740234,94.4376721610941,92.40532546134774,93.52596583980956,15484600
2014-10-31,93.63993072509766,95.17843931852552,93.19927517695248,95.06447330381293,18128300
